EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2025-10-29 16:00:00-04:00,3.66,,
2025-07-30 16:00:00-04:00,3.38,3.65,8.09
2025-04-30 16:00:00-04:00,3.22,3.46,7.4
2025-01-29 16:00:00-05:00,3.1,3.23,4.06
2024-10-30 16:00:00-04:00,3.11,3.3,6.25
2024-07-30 16:00:00-04:00,2.94,2.95,0.23
2024-04-25 16:00:00-04:00,2.84,2.94,3.4
2024-01-30 16:00:00-05:00,2.77,2.93,5.83
2023-10-24 16:00:00-04:00,2.65,2.99,12.85
2023-07-25 16:00:00-04:00,2.55,2.69,5.59
2023-04-25 16:00:00-04:00,2.23,2.45,9.77
2023-01-24 16:00:00-05:00,2.32,2.32,0.21
2022-10-25 16:00:00-04:00,2.31,2.35,1.92
2022-07-26 16:00:00-04:00,2.29,2.23,-2.69
2022-04-26 16:00:00-04:00,2.2,2.22,1.06
2022-01-25 16:00:00-05:00,2.32,2.48,7.05
2021-10-26 16:00:00-04:00,2.08,2.27,9.3
2021-07-27 16:00:00-04:00,1.93,2.17,12.71
2021-04-27 16:00:00-04:00,1.77,2.03,14.64
2021-01-26 16:00:00-05:00,1.64,2.03,23.99
2020-10-27 16:00:00-04:00,1.55,1.82,17.72
2020-07-22 16:00:00-04:00,1.37,1.46,6.42
2020-04-29 16:00:00-04:00,1.27,1.4,10.34
2020-01-29 16:00:00-05:00,1.32,1.51,13.96
2019-10-23 16:00:00-04:00,1.24,1.38,10.98
