EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-17 08:00:00-05:00,1.98,,
2025-10-23 06:00:00-04:00,2.24,2.3,2.54
2025-07-24 06:00:00-04:00,1.99,2.04,2.67
2025-04-24 06:00:00-04:00,1.67,1.86,11.19
2025-02-18 06:00:00-05:00,1.75,1.86,6.27
2024-10-24 05:00:00-04:00,1.98,2.16,9.03
2024-07-24 05:00:00-04:00,1.84,1.96,6.3
2024-04-25 05:00:00-04:00,1.45,1.55,7.21
2024-02-20 05:00:00-05:00,1.58,1.68,6.09
2023-10-31 05:00:00-04:00,1.74,1.94,11.36
2023-07-26 05:00:00-04:00,1.72,1.76,2.6
2023-04-26 05:00:00-04:00,1.36,1.58,16.6
2023-02-22 05:00:00-05:00,1.38,1.6,16.28
2022-10-27 05:00:00-04:00,1.48,1.64,11.1
2022-07-28 05:00:00-04:00,1.33,1.37,2.71
2022-04-26 05:00:00-04:00,0.98,1.07,9.04
2022-02-15 05:00:00-05:00,1.01,1.11,9.96
2021-10-21 05:00:00-04:00,1.27,1.56,23.2
2021-07-22 05:00:00-04:00,1.3,1.32,1.34
2021-04-22 05:00:00-04:00,1.03,1.2,16.92
2021-02-16 05:00:00-05:00,1.19,1.49,25.25
2020-10-22 05:00:00-04:00,1.22,1.67,36.39
2020-07-23 05:00:00-04:00,0.83,0.92,10.84
2020-04-23 05:00:00-04:00,0.88,1.04,17.91
2020-02-18 05:00:00-05:00,1.28,1.28,-0.27
2019-10-24 05:00:00-04:00,1.33,1.47,10.85
2019-07-25 05:00:00-04:00,1.32,1.26,-4.38
2019-04-25 05:00:00-04:00,0.87,0.88,1.34
2019-02-19 05:00:00-05:00,1.22,1.22,0.18
2018-10-25 05:00:00-04:00,1.21,1.23,1.28
2018-07-26 05:00:00-04:00,1.19,1.25,4.79
2018-04-26 05:00:00-04:00,0.85,0.8,-5.74
2018-02-20 05:00:00-05:00,0.93,1.11,19.35
2017-10-26 05:00:00-04:00,1.02,1.02,0.11
2017-07-27 05:00:00-04:00,1.0,1.11,10.57
2017-04-27 05:00:00-04:00,0.69,0.73,5.86
2017-02-09 06:00:00-05:00,0.87,0.81,-7.14
2016-10-27 06:00:00-04:00,0.95,0.93,-2.17
2016-07-28 06:00:00-04:00,0.9,0.99,10.0
2016-04-28 06:00:00-04:00,0.65,0.61,-5.84
2016-02-11 06:00:00-05:00,0.73,0.89,21.13
2015-10-29 06:00:00-04:00,0.78,0.92,18.29
2015-07-30 06:00:00-04:00,0.7,0.71,0.71
2015-04-30 06:00:00-04:00,0.47,0.51,9.07
2015-02-18 06:00:00-05:00,0.68,0.76,11.8
2014-10-30 06:00:00-04:00,0.64,0.68,6.02
2014-07-30 17:00:00-04:00,0.64,0.61,-3.98
2014-04-30 17:00:00-04:00,0.44,0.44,0.19
2014-02-19 17:00:00-05:00,0.62,0.58,-6.95
