EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-11 16:00:00-05:00,-0.68,,
2025-11-05 16:00:00-05:00,-0.88,-0.19,78.33
2025-07-30 16:00:00-04:00,-0.81,0.11,113.51
2025-04-30 16:00:00-04:00,-0.68,-0.18,73.52
2025-02-12 16:00:00-05:00,-0.67,-1.09,-63.0
2024-11-06 16:00:00-05:00,-0.48,-1.55,-221.72
2024-07-31 16:00:00-04:00,0.46,0.04,-91.27
2024-05-01 16:00:00-04:00,0.23,0.26,11.7
2024-02-14 16:00:00-05:00,1.11,1.85,66.72
2023-11-01 16:00:00-04:00,3.74,2.74,-26.71
2023-08-02 16:00:00-04:00,4.52,7.33,62.22
2023-05-03 16:00:00-04:00,7.04,10.32,46.59
2023-02-15 16:00:00-05:00,8.37,8.62,3.02
2022-11-02 16:00:00-04:00,6.99,7.5,7.29
2022-08-03 16:00:00-04:00,3.25,3.45,6.02
2022-05-04 16:00:00-04:00,1.65,2.38,43.87
2022-02-16 16:00:00-05:00,0.99,1.01,1.85
2021-11-03 16:00:00-04:00,0.77,1.05,37.09
2021-08-04 16:00:00-04:00,0.83,0.89,6.79
2021-05-05 16:00:00-04:00,0.8,1.1,38.01
2021-02-17 16:00:00-05:00,1.12,1.17,4.47
2020-11-04 16:00:00-05:00,0.76,1.09,43.7
2020-08-05 16:00:00-04:00,0.72,0.86,19.35
2020-05-06 17:00:00-04:00,0.84,1.0,19.66
2020-02-19 16:00:00-05:00,1.75,1.73,-0.88
2019-11-06 16:00:00-05:00,1.5,1.53,1.8
2019-08-07 16:00:00-04:00,1.43,1.55,8.22
2019-05-08 16:00:00-04:00,1.23,1.23,-0.32
2019-02-20 16:00:00-05:00,1.47,1.53,4.11
2018-11-07 16:00:00-05:00,1.25,1.31,4.89
2018-08-07 16:00:00-04:00,1.28,1.36,6.62
2018-05-09 16:00:00-04:00,1.2,1.3,7.95
2018-02-27 16:00:00-05:00,1.21,1.34,10.52
2017-11-08 17:00:00-05:00,1.07,1.08,0.75
2017-08-07 17:00:00-04:00,1.1,1.13,2.83
2017-05-03 17:00:00-04:00,0.96,1.05,9.36
2017-02-27 17:00:00-05:00,0.73,0.78,6.5
2016-11-07 17:00:00-05:00,0.81,0.91,11.73
2016-08-03 17:00:00-04:00,1.0,1.09,8.82
2016-05-10 16:00:00-04:00,0.86,1.12,30.93
2016-02-17 17:00:00-05:00,0.83,1.03,23.62
2015-11-04 17:00:00-05:00,0.89,0.9,1.59
2015-08-05 17:00:00-04:00,0.82,0.84,2.64
2015-05-06 18:00:00-04:00,0.71,1.17,65.44
2015-01-28 17:00:00-05:00,1.02,0.99,-2.62
2014-10-22 17:00:00-04:00,1.02,1.14,12.12
2014-07-30 16:00:00-04:00,1.1,1.1,0.29
2014-04-16 17:00:00-04:00,0.95,0.96,1.24
2014-01-28 16:00:00-05:00,1.04,1.08,3.43
2013-10-16 16:00:00-04:00,1.08,1.09,1.3
