EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-03 16:00:00-05:00,2.63,,
2025-10-29 16:00:00-04:00,2.26,2.87,26.88
2025-07-23 16:00:00-04:00,2.2,2.31,5.09
2025-04-24 16:00:00-04:00,2.01,2.81,40.1
2025-02-04 16:00:00-05:00,2.13,2.15,1.18
2024-10-29 16:00:00-04:00,1.85,2.12,14.74
2024-07-23 16:00:00-04:00,1.84,1.89,2.54
2024-04-25 16:00:00-04:00,1.51,1.89,25.58
2024-01-30 16:00:00-05:00,1.6,1.64,2.53
2023-10-24 16:00:00-04:00,1.45,1.55,7.05
2023-07-25 16:00:00-04:00,1.34,1.44,7.29
2023-04-25 16:00:00-04:00,1.07,1.17,9.45
2023-02-02 16:00:00-05:00,1.2,1.05,-12.33
2022-10-25 16:00:00-04:00,1.26,1.06,-16.01
2022-07-26 16:00:00-04:00,1.29,1.21,-6.05
2022-04-26 16:00:00-04:00,1.28,1.23,-3.67
2022-02-01 16:00:00-05:00,1.36,1.53,12.52
2021-10-26 16:00:00-04:00,1.16,1.4,20.44
2021-07-27 16:00:00-04:00,0.96,1.36,42.7
2021-04-27 16:00:00-04:00,0.78,1.31,67.88
2021-02-02 16:00:00-05:00,0.8,1.12,39.28
2020-10-29 16:00:00-04:00,0.56,0.82,46.48
2020-07-30 16:00:00-04:00,0.41,0.51,23.4
2020-04-28 16:00:00-04:00,0.54,0.49,-8.29
2020-02-03 16:00:00-05:00,0.63,0.77,21.89
2019-10-28 16:00:00-04:00,0.64,0.55,-14.08
2019-07-25 16:00:00-04:00,0.57,0.71,23.88
2019-04-29 16:00:00-04:00,0.52,0.6,14.43
2019-02-04 16:00:00-05:00,0.55,0.64,16.33
2018-10-25 16:00:00-04:00,0.52,0.65,24.84
2018-07-23 16:00:00-04:00,0.48,0.59,23.16
2018-04-23 16:00:00-04:00,0.46,0.47,2.28
2018-02-01 16:00:00-05:00,0.49,0.49,-2.02
2017-10-26 16:00:00-04:00,0.42,0.48,13.13
2017-07-24 16:00:00-04:00,0.41,0.45,7.37
2017-04-27 16:00:00-04:00,0.47,0.5,6.96
2017-01-26 16:00:00-05:00,0.48,0.47,-2.62
2016-10-27 16:00:00-04:00,0.43,0.45,5.32
2016-07-28 16:00:00-04:00,0.4,0.42,4.77
2016-04-21 16:00:00-04:00,0.4,0.38,-5.8
2016-02-01 16:00:00-05:00,0.4,0.43,7.24
2015-10-22 16:00:00-04:00,0.36,0.37,2.0
2015-07-16 16:00:00-04:00,0.33,0.35,4.5
2015-04-23 16:00:00-04:00,0.33,0.33,-0.58
2015-01-29 16:00:00-05:00,0.36,0.34,-3.49
2014-10-16 16:00:00-04:00,0.33,0.32,-2.6
2014-07-17 16:00:00-04:00,0.33,0.3,-6.95
2014-04-16 16:00:00-04:00,0.39,0.31,-19.37
2014-01-30 16:00:00-05:00,0.61,0.6,-2.32
2013-10-17 16:00:00-04:00,0.52,0.54,3.07
