EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2025-12-03 16:00:00-05:00,2.86,,
2025-09-03 16:00:00-04:00,2.78,2.91,4.7
2025-05-28 16:00:00-04:00,2.55,2.58,1.31
2025-02-26 16:00:00-05:00,2.61,2.78,6.43
2024-12-03 16:00:00-05:00,2.45,2.41,-1.47
2024-08-28 16:00:00-04:00,2.36,2.56,8.63
2024-05-29 16:00:00-04:00,2.37,2.44,2.75
2024-02-28 16:00:00-05:00,2.27,2.29,0.96
2023-11-29 16:00:00-05:00,2.06,2.11,2.52
2023-08-30 16:00:00-04:00,1.9,2.12,11.45
2023-05-31 16:00:00-04:00,1.61,1.69,4.84
2023-03-01 16:00:00-05:00,1.36,1.68,23.43
2022-11-30 16:00:00-05:00,1.22,1.4,14.55
2022-08-24 16:00:00-04:00,1.03,1.19,15.75
2022-05-31 16:00:00-04:00,0.94,0.98,3.73
2022-03-01 16:00:00-05:00,0.75,0.84,11.85
2021-11-30 16:00:00-05:00,0.92,1.27,37.89
2021-08-25 16:00:00-04:00,0.93,1.48,59.49
2021-05-27 16:00:00-04:00,0.88,1.21,36.96
2021-02-25 16:00:00-05:00,0.75,1.04,38.5
2020-12-01 16:00:00-05:00,0.75,1.74,132.27
2020-08-25 16:00:00-04:00,0.67,1.44,115.91
2020-05-28 16:00:00-04:00,0.69,0.7,0.74
2020-02-25 16:00:00-05:00,0.56,0.66,18.38
2019-12-03 16:00:00-05:00,0.66,0.75,13.56
2019-08-22 16:00:00-04:00,0.47,0.66,40.37
2019-06-04 16:00:00-04:00,0.61,0.93,52.62
2019-03-04 16:00:00-05:00,0.55,0.7,26.3
2018-11-27 16:00:00-05:00,0.5,0.61,21.65
2018-08-29 16:00:00-04:00,0.47,0.71,50.56
2018-05-29 16:00:00-04:00,0.46,0.74,61.89
2018-02-28 16:00:00-05:00,0.34,0.35,3.79
2017-11-21 16:00:00-05:00,0.37,0.39,6.45
2017-08-22 16:00:00-04:00,0.32,0.33,4.43
2017-05-18 16:00:00-04:00,0.26,0.28,7.68
2017-02-28 16:00:00-05:00,0.25,0.28,12.82
2016-11-17 16:00:00-05:00,0.21,0.24,13.96
2016-08-31 16:00:00-04:00,0.22,0.24,9.35
2016-05-18 16:00:00-04:00,0.23,0.24,2.78
2016-02-24 16:00:00-05:00,0.19,0.19,-0.51
2015-11-18 16:00:00-05:00,0.19,0.21,12.17
2015-08-20 16:00:00-04:00,0.17,0.19,8.74
2015-05-20 16:00:00-04:00,0.14,0.16,15.55
2015-02-25 16:00:00-05:00,0.14,0.14,2.67
2014-11-19 16:00:00-05:00,0.13,0.14,8.9
2014-08-21 16:00:00-04:00,0.12,0.13,9.42
2014-05-20 16:00:00-04:00,0.1,0.11,13.22
2014-02-27 16:00:00-05:00,0.06,0.07,15.82
2013-11-18 16:00:00-05:00,0.09,0.09,4.02
2013-08-29 16:00:00-04:00,0.07,0.09,30.42
