EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-01-29 08:00:00-05:00,1.32,,
2025-10-30 07:00:00-04:00,1.45,1.45,0.13
2025-07-30 07:00:00-04:00,1.38,1.44,3.99
2025-04-29 07:00:00-04:00,1.19,1.23,3.52
2025-01-30 07:00:00-05:00,1.28,1.29,0.85
2024-10-31 07:00:00-04:00,1.35,1.38,2.25
2024-07-31 07:00:00-04:00,1.34,1.31,-2.56
2024-04-25 07:00:00-04:00,1.15,1.15,-0.06
2024-02-01 07:00:00-05:00,1.18,1.18,0.41
2023-10-26 07:00:00-04:00,1.3,1.28,-1.25
2023-08-01 07:00:00-04:00,1.3,1.31,0.77
2023-04-27 07:00:00-04:00,1.17,1.18,0.51
2023-02-01 07:00:00-05:00,1.16,1.18,1.79
2022-10-27 07:00:00-04:00,1.3,1.28,-1.82
2022-07-28 07:00:00-04:00,1.25,1.26,0.77
2022-04-28 07:00:00-04:00,1.09,1.12,2.52
2022-01-27 07:00:00-05:00,1.08,1.09,0.64
2021-10-28 07:00:00-04:00,1.26,1.22,-3.01
2021-07-29 07:00:00-04:00,1.17,1.23,4.73
2021-04-29 07:00:00-04:00,1.05,1.07,2.08
2021-01-28 07:00:00-05:00,1.02,0.99,-2.85
2020-10-30 07:00:00-04:00,1.16,1.19,2.89
2020-07-28 07:00:00-04:00,1.06,1.09,2.85
2020-04-30 07:00:00-04:00,0.99,1.09,10.36
2020-01-30 07:00:00-05:00,1.02,1.02,-0.05
2019-10-31 07:00:00-04:00,1.15,1.19,3.88
2019-07-30 07:00:00-04:00,1.1,1.1,-0.29
2019-04-25 07:00:00-04:00,0.93,0.9,-2.95
2019-01-31 07:00:00-05:00,0.95,0.95,0.07
2018-10-25 07:00:00-04:00,1.06,1.08,1.48
2018-07-26 07:00:00-04:00,1.0,1.01,0.87
2018-04-26 07:00:00-04:00,0.92,0.95,2.81
2018-02-01 07:00:00-05:00,0.8,0.91,13.38
2017-10-26 07:00:00-04:00,0.87,0.9,2.92
2017-07-27 07:00:00-04:00,0.86,0.85,-1.18
2017-05-02 07:00:00-04:00,0.74,0.73,-0.95
2017-02-01 07:00:00-05:00,0.67,0.68,1.77
2016-10-27 07:00:00-04:00,0.81,0.82,1.86
2016-07-27 07:00:00-04:00,0.8,0.81,1.54
2016-04-28 07:00:00-04:00,0.68,0.72,5.42
2016-01-28 07:00:00-05:00,0.68,0.67,-1.41
2015-10-29 07:00:00-04:00,0.76,0.75,-0.68
2015-07-29 07:00:00-04:00,0.71,0.74,3.66
2015-04-23 07:00:00-04:00,0.62,0.63,1.17
2015-01-30 07:00:00-05:00,0.66,0.66,-0.72
2014-10-30 07:00:00-04:00,0.68,0.69,1.45
2014-07-22 07:00:00-04:00,0.66,0.65,-1.1
2014-04-24 07:00:00-04:00,0.57,0.57,0.47
2014-01-30 06:00:00-05:00,0.58,0.57,-2.18
2013-10-24 06:00:00-04:00,0.64,0.65,2.21
