EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-10 08:00:00-05:00,0.41,,
2025-10-28 06:00:00-04:00,0.57,0.67,17.69
2025-07-29 06:00:00-04:00,0.9,0.92,1.94
2025-05-01 06:00:00-04:00,0.4,0.47,17.58
2025-02-11 06:00:00-05:00,0.48,0.54,11.41
2024-10-24 06:00:00-04:00,0.79,0.77,-2.22
2024-07-25 06:00:00-04:00,0.85,0.87,2.82
2024-04-25 06:00:00-04:00,0.5,0.62,23.06
2024-02-06 06:00:00-05:00,0.51,0.53,3.85
2023-10-26 06:00:00-04:00,0.79,0.89,12.07
2023-07-27 06:00:00-04:00,0.77,0.79,2.57
2023-04-25 16:00:00-04:00,0.48,0.52,7.5
2023-02-07 06:00:00-05:00,0.4,0.4,0.71
2022-10-27 06:00:00-04:00,0.65,0.7,7.99
2022-07-28 06:00:00-04:00,0.62,0.69,12.03
2022-04-28 06:00:00-04:00,0.47,0.54,15.43
2022-02-08 06:00:00-05:00,0.39,0.44,13.93
2021-10-28 06:00:00-04:00,0.66,0.71,8.11
2021-07-29 06:00:00-04:00,0.55,0.64,15.74
2021-04-29 06:00:00-04:00,0.37,0.48,28.76
2021-02-09 06:00:00-05:00,0.36,0.31,-12.85
2020-10-29 06:00:00-04:00,0.46,0.67,44.8
2020-07-30 06:00:00-04:00,0.25,0.33,33.19
2020-05-08 07:00:00-04:00,0.33,0.35,5.69
